Final area = 327548.1343839451
Black area = 54378.134383945086

block_name lower_left(x,y)coordinate upper_right(x,y)coordinate
sb127 (15.76071,757.46429) (72.54979,776.39398)
sb128 (92.21635,539.10609) (127.31621,574.20595)
sb129 (88.63189,465.69035) (136.00276,481.48064)
sb130 (76.2841,500.49818) (91.58116,551.48837)
sb131 (175.72084,385.52831) (201.17669,470.38112)
sb132 (61.77204,500.49818) (76.2841,548.87173)
sb133 (0,639.72733) (13.91043,686.09542)
sb134 (52.24136,576.3857) (92.21635,616.36069)
sb135 (127.71283,524.10609) (172.71283,539.10609)
sb136 (9.47101,452.5829) (30.54232,473.65421)
sb137 (0,500.49818) (24.24871,524.74689)
sb138 (0,538.02151) (59.39697,557.8205)
sb139 (15.76071,639.72733) (52.25729,676.22391)
sb140 (0,576.3857) (12.44186,617.85858)
sb141 (88.63189,403.7766) (117.87227,433.01698)
sb142 (88.63189,385.52831) (143.37675,403.7766)
sb143 (201.17669,450.33572) (214.59309,495.05708)
sb144 (36.12478,405.72732) (60.61968,430.22222)
sb145 (61.13643,385.52831) (85.32321,409.71508)
sb146 (12.44186,576.3857) (52.24136,616.18519)
sb147 (201.17669,385.52831) (220.61891,450.33572)
sb148 (165.32854,403.7766) (175.72084,438.41761)
sb149 (0,557.8205) (55.6956,576.3857)
sb150 (118.83122,450.27391) (165.08055,465.69035)
sb151 (61.13643,461.35486) (88.63189,488.85032)
sb152 (88.63189,433.01698) (118.83122,443.08343)
sb153 (161.75625,343.99423) (196.8276,379.06559)
sb154 (61.13643,409.71508) (71.72888,445.02325)
sb155 (0,374.72708) (32.4037,385.52831)
sb156 (150.16315,309.49786) (161.75625,348.14153)
sb157 (36.12478,430.22222) (58.48546,452.5829)
sb158 (0,452.5829) (9.47101,484.15293)
sb159 (24.24871,500.49818) (61.77204,538.02151)
sb160 (88.63189,443.08343) (109.4165,463.86804)
sb161 (118.83122,403.7766) (165.32854,450.27391)
sb162 (0,361.08889) (40.91455,374.72708)
sb163 (0,334.6501) (46.66905,350.20645)
sb164 (0,296.23136) (38.41875,334.6501)
sb165 (161.75625,309.49786) (172.10516,343.99423)
sb166 (0,385.52831) (60.59703,405.72732)
sb167 (385.78324,142.3086) (405.77324,208.94192)
sb168 (117.71319,320.31451) (149.08196,351.68329)
sb169 (30.54232,452.5829) (61.13643,483.17701)
sb170 (0,405.72732) (36.12478,441.8521)
sb171 (9.47101,483.17701) (60.85194,500.30399)
sb172 (117.71319,309.49786) (150.16315,320.31451)
sb173 (71.72888,409.71508) (87.22082,461.35486)
sb174 (172.10516,309.49786) (198.33492,335.72761)
sb175 (0,350.20645) (26.83282,359.15073)
sb176 (40.91455,361.08889) (102.24969,381.53394)
sb177 (342.89135,268.1323) (410.35245,290.61933)
sb178 (150.57654,351.68329) (160.42032,384.49589)
sb179 (198.33492,309.49786) (219.99594,381.70127)
sb180 (272.98433,149.87163) (300.55243,177.43973)
sb181 (63.26423,296.23136) (92.24698,325.21411)
sb182 (117.71319,351.68329) (150.57654,384.54664)
sb183 (63.26423,325.21411) (99.13901,361.08889)
sb184 (99.13901,296.23136) (117.71319,358.14528)
sb185 (46.66905,296.23136) (63.26423,351.54863)
sb186 (365.34798,110.32423) (397.33235,142.3086)
sb187 (239.76256,214.24861) (303.82503,235.60277)
sb188 (239.47488,253.1527) (306.1082,275.36381)
sb189 (117.71319,296.23136) (157.51268,309.49786)
sb190 (342.89135,210.42614) (360.2032,268.1323)
sb191 (376.74406,210.42614) (400.06786,233.74995)
sb192 (365.34798,142.3086) (385.78324,210.42614)
sb193 (306.1082,186.65478) (319.08125,229.89828)
sb194 (250.6575,110.32423) (269.73629,129.40301)
sb195 (218.76256,253.1527) (239.47488,273.86501)
sb196 (342.89135,110.32423) (365.34798,185.17964)
sb197 (376.74406,233.74995) (408.93101,265.93691)
sb198 (360.2032,210.42614) (376.74406,265.56234)
sb199 (270.20185,275.36381) (328.06375,294.65111)
sb200 (319.08125,186.65478) (340.92845,259.47877)
sb201 (160.56668,231.02119) (188.02574,258.48026)
sb202 (239.76256,180.8555) (302.83395,201.8793)
sb203 (306.1082,229.89828) (317.33318,267.31485)
sb204 (306.1082,149.87163) (342.89135,186.65478)
sb205 (230.21245,133.56213) (260.95331,143.80908)
sb206 (218.76256,180.8555) (239.76256,250.8555)
sb207 (239.76256,235.60277) (292.41235,253.1527)
sb208 (249.74643,149.87163) (272.98433,173.10953)
sb209 (269.73629,110.32423) (339.44999,133.56213)
sb210 (173.81432,186.86239) (183.48903,219.11142)
sb211 (188.02574,231.02119) (195.61521,256.31942)
sb212 (218.76256,275.36381) (270.20185,292.51024)
sb213 (110.33439,147.22512) (121.92749,185.8688)
sb214 (239.76256,201.8793) (276.87051,214.24861)
sb215 (56.76873,281.85964) (99.51215,296.10745)
sb216 (260.95331,133.56213) (309.88183,149.87163)
sb217 (218.76256,149.87163) (249.74643,180.8555)
sb218 (110.96414,267.19676) (154.95278,281.85964)
sb219 (73.01681,243.68447) (95.46676,266.13441)
sb220 (105.46677,198.63807) (138.78344,231.95473)
sb221 (160.56668,186.86239) (173.81432,231.02119)
sb222 (202.19735,130.80186) (218.16607,184.03092)
sb223 (230.21245,110.32423) (250.6575,130.76928)
sb224 (160.56668,264.02024) (213.8114,281.76848)
sb225 (195.61521,186.86239) (218.76256,264.02024)
sb226 (171.11681,161.8824) (196.0968,186.86239)
sb227 (105.46677,186.86239) (140.79382,198.63807)
sb228 (105.46677,231.95473) (140.96325,243.78689)
sb229 (140.96325,186.86239) (159.55357,248.83012)
sb230 (72.09828,129.05922) (126.59598,147.22512)
sb231 (73.01681,267.19676) (110.96414,279.84587)
sb232 (171.11681,130.80186) (202.19735,161.8824)
sb233 (128.30326,130.80186) (153.28325,139.12852)
sb234 (73.01681,186.86239) (97.38893,211.23451)
sb235 (105.46677,248.83012) (160.56668,267.19676)
sb236 (73.01681,211.23451) (105.46677,243.68447)
sb237 (36.77123,127.98775) (52.64574,180.90278)
sb238 (72.09828,110.32423) (128.30326,129.05922)
sb239 (56.76873,186.86239) (73.01681,241.02265)
sb240 (218.76256,110.32423) (230.21245,148.49053)
sb241 (36.77123,110.32423) (54.43476,127.98775)
sb242 (20.52316,232.24568) (36.77123,286.40594)
sb243 (128.30326,110.32423) (189.73615,130.80186)
sb244 (183.48903,186.86239) (195.50153,226.90404)
sb245 (354.23815,0) (405.14984,16.97056)
sb246 (54.43476,110.32423) (71.85888,168.40463)
sb247 (0,218.28144) (20.52316,286.69197)
sb248 (36.77123,186.86239) (56.76873,253.52072)
sb249 (368.09696,35.54474) (384.93442,91.6696)
sb250 (203.97205,0) (260.20372,18.74389)
sb251 (72.09828,147.22512) (110.33439,185.46123)
sb252 (9.67471,195.21632) (32.73983,218.28144)
sb253 (20.52316,218.28144) (34.4874,232.24568)
sb254 (54.43476,168.40463) (72.09828,186.06815)
sb255 (128.30326,139.12852) (171.11681,181.94207)
sb256 (0,286.69197) (28.61818,296.23136)
sb257 (177.25128,39.40684) (190.22433,82.65034)
sb258 (329.4188,35.54474) (368.09696,74.2229)
sb259 (0,110.32423) (9.67471,142.57326)
sb260 (260.20372,0) (286.35711,8.7178)
sb261 (230.29695,18.74389) (253.53485,41.98179)
sb262 (233.67054,63.46238) (296.02437,84.24699)
sb263 (9.67471,110.32423) (35.14234,195.21632)
sb264 (354.23815,16.97056) (409.96068,35.54474)
sb265 (258.96296,45.13208) (303.96296,60.13208)
sb266 (303.96296,0) (329.4188,84.85281)
sb267 (260.20372,8.7178) (296.618,45.13208)
sb268 (103.11146,0) (143.73165,13.54006)
sb269 (329.4188,91.6696) (374.1178,106.56926)
sb270 (162.94743,20.83267) (181.52161,39.40684)
sb271 (203.97205,45.13208) (258.96296,63.46238)
sb272 (190.22433,93.16087) (240.42393,109.89407)
sb273 (190.22433,0) (203.97205,45.82576)
sb274 (203.97205,18.74389) (230.29695,45.06878)
sb275 (329.4188,0) (354.23815,24.81935)
sb276 (162.94743,0) (183.7801,20.83267)
sb277 (149.93974,0) (162.94743,43.35897)
sb278 (190.22433,45.82576) (203.02276,88.48721)
sb279 (384.93442,35.54474) (407.36431,110.31104)
sb280 (162.94743,39.40684) (177.25128,87.08633)
sb281 (133.65468,87.08633) (156.89258,110.32423)
sb282 (130.03999,13.54006) (149.93974,79.87256)
sb283 (15.65567,26.44964) (39.84244,34.5119)
sb284 (15.65567,11.95826) (59.1298,26.44964)
sb285 (15.65567,0) (51.53045,11.95826)
sb286 (67.11146,87.08633) (133.65468,109.2674)
sb287 (203.97205,63.46238) (233.67054,93.16087)
sb288 (67.11146,13.54006) (122.10237,31.87037)
sb289 (67.11146,31.87037) (127.63418,52.04461)
sb290 (156.89258,87.08633) (177.67719,107.87094)
sb291 (15.65567,68.8339) (50.35437,103.5326)
sb292 (50.35437,26.44964) (67.11146,82.3066)
sb293 (0,0) (15.65567,52.18557)
sb294 (149.93974,43.35897) (161.45495,81.74299)
sb295 (67.11146,52.04461) (108.06265,65.695)
sb296 (67.11146,0) (103.11146,12.0)
sb297 (15.65567,34.5119) (49.97767,68.8339)
sb298 (67.11146,65.695) (130.03999,86.67118)
sb299 (50.35437,82.3066) (63.35437,95.3066)
