Final area = 212779.15120446854
Black area = 37083.15120446854

block_name lower_left(x,y)coordinate upper_right(x,y)coordinate
sb79 (191.97874,279.44449) (218.49289,305.95863)
sb80 (265.47071,235.56693) (290.57051,243.93353)
sb81 (323.67983,73.56296) (348.97805,98.86118)
sb82 (288.18335,118.01414) (305.98222,177.34372)
sb83 (218.49289,279.44449) (264.41674,294.75244)
sb84 (191.97874,307.94334) (261.06564,330.97231)
sb85 (305.98222,154.09737) (378.97537,178.42842)
sb86 (252.32537,190.2041) (265.47071,234.02191)
sb87 (191.97874,250.2041) (221.21913,279.44449)
sb88 (178.32957,350.27689) (238.42948,370.31019)
sb89 (288.18335,73.56296) (323.67983,85.39512)
sb90 (200.46402,190.2041) (218.46402,250.2041)
sb91 (359.20748,225.98119) (378.43247,290.06447)
sb92 (288.18335,55.23266) (343.17426,73.56296)
sb93 (268.23842,22.48331) (298.28838,52.53327)
sb94 (191.97874,190.2041) (200.46402,218.48838)
sb95 (268.23842,121.71574) (284.6701,176.488)
sb96 (305.98222,118.01414) (339.52324,151.55516)
sb97 (221.21913,250.2041) (247.67664,276.66162)
sb98 (268.23842,178.42842) (303.56547,190.2041)
sb99 (348.97805,73.56296) (376.18099,100.7659)
sb100 (268.23842,7.48331) (313.23842,22.48331)
sb101 (178.32957,370.31019) (222.14737,414.128)
sb102 (218.46402,190.2041) (235.34597,246.47725)
sb103 (298.28838,22.48331) (330.28838,54.48331)
sb104 (137.00148,297.55308) (153.43316,352.32534)
sb105 (339.52324,118.01414) (375.60648,154.09737)
sb106 (268.23842,55.23266) (288.18335,121.71574)
sb107 (178.32957,161.88785) (205.16238,188.72067)
sb108 (205.16238,178.19736) (239.62976,189.68648)
sb109 (224.37176,122.70769) (252.51426,132.08852)
sb110 (192.55982,123.38693) (224.37176,155.19887)
sb111 (254.17109,122.70769) (262.54964,150.63617)
sb112 (178.32957,40.52006) (228.16931,57.1333)
sb113 (224.37176,57.1333) (243.37703,120.48418)
sb114 (178.32957,24.80382) (225.47827,40.52006)
sb115 (330.28838,7.48331) (363.60504,40.79998)
sb116 (178.32957,57.1333) (217.75037,96.55411)
sb117 (224.37176,132.08852) (254.17109,161.88785)
sb118 (86.63195,263.22235) (150.62414,284.55308)
sb119 (323.67983,100.7659) (374.59151,117.73647)
sb120 (178.32957,96.55411) (192.55982,143.98828)
sb121 (230.29109,7.48331) (268.23842,45.43065)
sb122 (243.37703,57.1333) (263.04934,122.70769)
sb123 (0,400.28205) (36.94591,412.59735)
sb124 (86.63195,284.55308) (125.63195,297.55308)
sb125 (0,288.0417) (12.29634,329.0295)
sb126 (288.18335,85.39512) (320.80236,118.01414)
sb127 (102.73164,319.09374) (125.70989,342.07199)
sb128 (178.32957,7.48331) (230.29109,24.80382)
sb129 (86.63195,373.81689) (164.55499,399.79124)
sb130 (153.43316,271.22235) (177.80527,352.46274)
sb131 (192.55982,96.55411) (219.39263,123.38693)
sb132 (0,329.0295) (13.50555,374.04802)
sb133 (178.32957,0) (200.77951,7.48331)
sb134 (102.73164,297.55308) (124.2723,319.09374)
sb135 (164.55499,352.46274) (177.45848,395.47436)
sb136 (86.63195,352.46274) (107.98611,373.81689)
sb137 (136.10443,218.67056) (170.57181,230.15969)
sb138 (36.94591,400.28205) (81.4431,415.11445)
sb139 (107.98611,352.46274) (163.38466,370.92892)
sb140 (153.43316,263.22235) (177.43316,271.22235)
sb141 (70.66323,288.0417) (86.63195,341.27076)
sb142 (24.59268,288.0417) (59.8347,323.28372)
sb143 (24.32221,329.0295) (69.3111,374.01839)
sb144 (70.66323,341.27076) (85.41111,390.43037)
sb145 (0,239.4917) (67.74954,262.07488)
sb146 (79.65873,192.65866) (113.155,226.15493)
sb147 (79.65873,226.15493) (113.06531,237.29046)
sb148 (125.70989,297.55308) (137.00148,335.19171)
sb149 (124.05454,192.65866) (136.10443,232.82498)
sb150 (13.50555,329.0295) (24.32221,365.08502)
sb151 (141.80089,179.3953) (177.80089,191.3953)
sb152 (13.50555,381.22949) (70.66323,400.28205)
sb153 (143.55236,232.82498) (165.46127,254.73389)
sb154 (0,263.22235) (74.45804,288.0417)
sb155 (13.50555,374.01839) (35.13886,381.22949)
sb156 (205.16238,161.88785) (254.0909,178.19736)
sb157 (12.29634,288.0417) (24.59268,329.0295)
sb158 (0,192.65866) (11.9499,232.49165)
sb159 (86.63195,297.55308) (102.73164,351.21871)
sb160 (67.74954,239.4917) (88.53415,260.27631)
sb161 (136.10443,204.65866) (178.14013,218.67056)
sb162 (55.21651,192.65866) (65.60882,227.29968)
sb163 (13.09962,144.25072) (59.59693,190.74803)
sb164 (103.07106,137.44295) (132.46494,166.83682)
sb165 (82.80128,34.49638) (119.58443,71.27952)
sb166 (136.10443,192.65866) (172.10443,204.65866)
sb167 (65.60882,192.65866) (79.65873,239.4917)
sb168 (0,112.64375) (52.67827,130.20318)
sb169 (79.02372,112.64375) (98.68078,178.16729)
sb170 (11.9499,192.65866) (43.41416,224.12293)
sb171 (82.80128,0) (117.29766,34.49638)
sb172 (134.05493,147.7709) (161.89375,175.60973)
sb173 (113.155,232.82498) (143.55236,263.22235)
sb174 (103.07106,179.3953) (141.80089,192.30525)
sb175 (41.79067,45.31372) (61.98968,65.51273)
sb176 (134.05493,137.44295) (165.03879,147.7709)
sb177 (152.80307,0) (178.31777,25.5147)
sb178 (103.07106,166.83682) (134.05493,177.16478)
sb179 (103.07106,112.64375) (177.46864,137.44295)
sb180 (55.42886,65.51273) (66.36961,101.9819)
sb181 (59.59693,178.16729) (103.07106,192.65866)
sb182 (113.155,192.65866) (124.05454,228.99047)
sb183 (13.09962,130.20318) (55.24223,144.25072)
sb184 (135.83251,99.0656) (169.59639,110.32023)
sb185 (0,130.20318) (13.09962,173.86857)
sb186 (152.80307,25.5147) (177.78306,50.49469)
sb187 (165.03879,137.44295) (177.6245,179.3953)
sb188 (135.83251,0) (152.80307,56.56854)
sb189 (41.79067,65.51273) (55.42886,110.97334)
sb190 (59.59693,112.64375) (79.02372,177.39971)
sb191 (0,0) (21.59167,71.97222)
sb192 (64.08872,0) (77.68284,45.31372)
sb193 (21.59167,0) (64.08872,42.49706)
sb194 (135.83251,56.56854) (178.32957,99.0656)
sb195 (66.36961,45.31372) (82.80128,100.08598)
sb196 (11.9499,224.12293) (55.21651,238.54513)
sb197 (82.80128,71.27952) (123.35988,111.83812)
sb198 (119.58443,0) (135.83251,54.16026)
sb199 (21.59167,45.31372) (41.79067,112.64375)
